time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-05-12T21:25:11.930Z,27.783,84.6384,10,5.2,mb,,38,1.932,0.62,us,us20002etn,2015-07-17T07:06:14.040Z,"23km ENE of Bharatpur, Nepal",earthquake,6,1.8,0.051,125,reviewed,us,us
2015-05-12T08:21:10.760Z,27.7298,86.1316,15,5.2,mb,,42,0.643,0.7,us,us20002ekr,2015-07-17T07:06:11.040Z,"30km SE of Kodari, Nepal",earthquake,6.7,1.8,0.043,175,reviewed,us,us
2015-05-12T08:13:54.600Z,27.7629,85.7574,15,5.1,mb,,49,0.953,0.64,us,us20002ekq,2015-07-17T07:06:11.040Z,"23km ENE of Nagarkot, Nepal",earthquake,8.3,1.8,0.046,152,reviewed,us,us
2015-05-12T08:06:05.530Z,27.7221,86.0161,15,5,mb,,42,0.742,0.78,us,us20002ekk,2015-07-17T07:06:11.040Z,"26km SSE of Kodari, Nepal",earthquake,5.7,1.8,0.044,168,reviewed,us,us
2015-05-12T07:36:54.490Z,27.625,86.1617,15,6.3,mww,,10,0.664,0.93,us,us20002ek5,2017-10-11T21:07:24.509Z,"33km NNE of Ramechhap, Nepal",earthquake,7.5,1.7,,,reviewed,us,us
2015-05-12T07:34:22.630Z,27.7458,86.2449,10,5.4,mb,,45,0.544,0.78,us,us20002ek3,2015-07-17T07:06:10.040Z,"28km S of Camgyai, China",earthquake,6.3,1.8,0.042,196,reviewed,us,us
2015-05-12T07:23:32.670Z,27.5589,86.2566,10,5,mb,,243,0.632,0.36,us,us10002bgy,2015-07-17T07:06:10.040Z,"30km NNE of Ramechhap, Nepal",earthquake,6.7,2,0.096,35,reviewed,us,us
2015-05-12T07:17:20.640Z,27.7141,86.2177,13.01,5.5,mb,,66,0.579,0.89,us,us20002ek0,2017-10-11T21:07:13.632Z,"32km SSW of Camgyai, China",earthquake,6.8,4.7,0.043,183,reviewed,us,us
2015-05-12T07:05:19.730Z,27.8087,86.0655,15,7.3,mww,,11,0.677,0.92,us,us20002ejl,2017-11-14T16:27:32.250Z,"19km SE of Kodari, Nepal",earthquake,7.4,1.7,,,reviewed,us,us
2015-05-01T08:58:41.800Z,10.7112,91.9645,29.31,5.3,mb,,62,1.21,0.75,us,us20002aml,2015-07-09T22:00:04.040Z,"136km SW of Port Blair, India",earthquake,6.8,4.1,0.056,108,reviewed,us,us
2015-04-27T12:35:53.930Z,26.8644,88.055,31.71,5.1,mb,,29,2.58,0.73,us,us200029k7,2015-07-03T00:23:44.040Z,"13km ESE of Ilam, Nepal",earthquake,6.6,3.3,0.041,201,reviewed,us,us
2015-04-26T16:26:06.730Z,27.8297,85.865,14,5,mwb,,22,0.847,0.73,us,us200029ea,2015-07-03T00:23:42.040Z,"15km SSW of Kodari, Nepal",earthquake,5.6,1.7,0.044,50,reviewed,us,us
2015-04-26T07:09:10.670Z,27.7711,86.0173,22.91,6.7,mww,,13,0.727,0.86,us,us200029bt,2017-10-11T21:05:07.056Z,"21km SSE of Kodari, Nepal",earthquake,6.6,2.9,,,reviewed,us,us
2015-04-25T23:16:15.450Z,27.7993,84.8715,13.61,5.1,mww,,26,1.724,0.67,us,us2000299v,2015-07-03T00:23:41.040Z,"41km WNW of Kirtipur, Nepal",earthquake,7,3.1,,,reviewed,us,us
2015-04-25T17:42:50.910Z,28.238,85.829,10,5.1,mwr,,31,0.911,0.99,us,us2000297g,2015-07-03T00:23:40.040Z,"16km NW of Chongdui, China",earthquake,5.7,1.7,0.11,8,reviewed,us,us
2015-04-25T12:44:05.170Z,28.0979,84.5594,10,5.2,mb,,39,1.995,0.91,us,us2000295i,2015-07-03T00:23:40.040Z,"22km ESE of Lamjung, Nepal",earthquake,4,1.8,0.038,234,reviewed,us,us
2015-04-25T09:17:02.310Z,28.3902,87.3173,10,5.7,mb,,22,0.619,0.7,us,us2000294g,2017-10-11T21:04:56.869Z,"35km SE of Xegar, China",earthquake,5.8,1.4,0.033,328,reviewed,us,us
